No,Y,X1,X2,X3,X4,X5,X6
1,37.9,2012.917,32,84.87882,10,24.98298,121.54024
2,42.2,2012.917,19.5,306.5947,9,24.98034,121.53951
3,47.3,2013.583,13.3,561.9845,5,24.98746,121.54391
4,54.8,2013.500,13.3,561.9845,5,24.98746,121.54391
5,43.1,2012.833,5,390.5684,5,24.97937,121.54245
6,32.1,2012.667,7.1,2175.03,3,24.96305,121.51254
7,40.3,2012.667,34.5,623.4731,7,24.97933,121.53642
8,46.7,2013.417,20.3,287.6025,6,24.98042,121.54228
9,18.8,2013.500,31.7,5512.038,1,24.95095,121.48458
10,22.1,2013.417,17.9,1783.18,3,24.96731,121.51486
11,41.4,2013.083,34.8,405.2134,1,24.97349,121.53372
12,58.1,2013.333,6.3,90.45606,9,24.97433,121.5431
13,39.3,2012.917,13,492.2313,5,24.96515,121.53737
14,23.8,2012.667,20.4,2469.645,4,24.96108,121.51046
15,34.3,2013.500,13.2,1164.838,4,24.99156,121.53406
16,50.5,2013.583,35.7,579.2083,2,24.9824,121.54619
17,70.1,2013.250,0,292.9978,6,24.97744,121.54458
18,37.4,2012.750,17.7,350.8515,1,24.97544,121.53119
19,42.3,2013.417,16.9,368.1363,8,24.9675,121.54451
20,47.7,2012.667,1.5,23.38284,7,24.96772,121.54102
21,29.3,2013.417,4.5,2275.877,3,24.96314,121.51151
22,51.6,2013.417,10.5,279.1726,7,24.97528,121.54541
23,24.6,2012.917,14.7,1360.139,1,24.95204,121.54842
24,47.9,2013.083,10.1,279.1726,7,24.97528,121.54541
25,38.8,2013.000,39.6,480.6977,4,24.97353,121.53885
26,27,2013.083,29.3,1487.868,2,24.97542,121.51726
27,56.2,2012.667,3.1,383.8624,5,24.98085,121.54391
28,33.6,2013.250,10.4,276.449,5,24.95593,121.53913
29,47,2013.500,19.2,557.478,4,24.97419,121.53797
30,57.1,2013.083,7.1,451.2438,5,24.97563,121.54694
31,22.1,2013.500,25.9,4519.69,0,24.94826,121.49587
32,25,2012.750,29.6,769.4034,7,24.98281,121.53408
33,34.2,2012.750,37.9,488.5727,1,24.97349,121.53451
34,49.3,2013.250,16.5,323.655,6,24.97841,121.54281
35,55.1,2012.750,15.4,205.367,7,24.98419,121.54243
36,27.3,2013.500,13.9,4079.418,0,25.01459,121.51816
37,22.9,2012.917,14.7,1935.009,2,24.96386,121.51458
38,25.3,2013.167,12,1360.139,1,24.95204,121.54842
39,47.7,2012.667,3.1,577.9615,6,24.97201,121.54722
40,46.2,2013.167,16.2,289.3248,5,24.98203,121.54348
