dow,vix,ford,oil,gold,corn,steel
34584.88,20.81,13.55,71.97,18.36,521.75,23.36
34751.32,18.69,13.4,72.61,18.51,528,25.39
34814.39,18.18,13.22,72.61,19.36,520.5,25.67
34577.57,19.46,12.86,70.46,19.5,497,24.45
34869.63,19.37,12.99,70.45,19.47,493,25.38
34607.72,20.95,12.68,69.72,19.35,487.75,25.92
34879.38,18.8,12.76,68.14,19.69,494.5,25.72
35031.07,17.96,13.03,69.3,19.86,495,25.44
35100,18.14,12.95,68.35,19.85,495.75,26.48
35369.09,16.41,12.89,69.29,20.3,506.75,26.22
35443.82,16.41,13.01,69.99,19.87,510,26.94
35312.53,16.11,13.11,68.59,19.81,514.25,26.96
35360.73,16.48,13.03,68.5,20.07,524,26.75
35399.84,16.19,13.05,69.21,19.81,531.5,27.06
35455.8,16.39,13.31,68.74,20.24,548.75,27.62
35213.12,18.84,12.9,67.42,19.73,548,26.64
35405.5,16.79,13.17,68.36,19.85,541.25,27.31
35366.26,17.22,13.08,67.54,20.12,537,27.87
35335.71,17.15,12.73,65.64,20.15,531.5,27.26
35120.08,18.56,12.57,62.32,19.23,533.25,27.01
34894.12,21.67,12.67,63.69,19.13,546.75,27.33
34960.69,21.57,13,65.46,19.46,556.5,29.45
35343.28,17.91,12.99,66.59,19.97,556.25,28.26
35625.4,16.12,13.46,67.29,20.19,561,28.98
35515.38,15.45,13.59,68.44,20.27,559,28.98
35499.85,15.59,13.9,69.09,20.05,548.5,28.08
35484.97,16.17,13.93,69.25,20.31,548.25,28.35
35264.67,16.79,13.82,68.29,19.84,544,28.31
35101.85,16.72,13.75,66.48,20.56,547,27.03
35208.51,16.15,13.8,68.28,20.8,548.75,25.91
35064.25,17.28,13.71,69.09,21.26,545.75,25.31
34792.67,17.97,13.32,68.15,21.65,540.25,25.24
35116.4,18.04,14.02,70.56,21.72,546.75,25.87
34838.16,19.46,13.91,71.26,21.57,540.25,25.07
34935.47,18.24,13.95,73.95,21.77,546.5,26.48
35084.53,17.7,14.39,73.62,21.81,546.5,25.47
34930.93,18.31,13.86,72.39,21.34,545,24.55
35058.52,19.36,13.79,71.65,20.99,544.25,23.84
35144.31,17.58,14.03,71.91,20.82,536.75,24.15
35061.55,17.2,13.82,72.07,20.63,544.5,23.13
34823.35,17.69,13.91,71.91,20.74,555,23.04
34798,17.91,14.19,70.3,20.9,567.75,23.06
34511.99,19.73,13.91,67.42,20.72,557.25,22.06
33962.04,22.5,13.28,66.42,20.54,548.75,21.5
34687.85,18.45,13.61,71.81,20.86,553.25,21.89
34987.02,17.01,14.01,71.65,21.27,561,23.2
34933.23,16.33,14.25,73.13,21.33,682,23.26
34888.79,17.12,14.42,75.25,21.14,664,24.22
34996.18,16.17,14.61,74.1,20.83,619.5,25
34870.16,16.18,14.48,74.56,21.13,620,24.54
34421.93,19,14.06,72.94,20.72,636,22.63
34681.79,16.2,14.23,72.2,21.19,645,22.93
34577.37,16.44,14.5,73.37,21.29,645.5,22.48
34786.35,15.07,14.93,75.16,20.79,683,24.09
34633.53,15.48,14.91,75.23,20.58,712.25,24.07
34502.51,15.83,14.86,73.47,20.68,675.5,24
34292.29,16.02,15.01,72.98,20.53,668,23.36
34283.27,15.76,14.96,72.91,20.7,636.75,23.21
34433.84,15.62,15.19,74.05,20.89,634,23.64
34196.82,15.97,15.26,73.3,20.97,650.75,24.28
33874.24,16.32,15.42,73.08,20.96,659.25,23.49
33945.58,16.66,14.91,73.06,21.08,653.75,23.11
33876.97,17.89,14.78,73.66,21.15,636,23.31
33290.08,20.7,14.52,71.64,20.75,629.5,22.71
33823.45,17.75,14.77,71.04,21.03,633,23.82
34033.67,18.15,15.02,72.15,22.45,663.75,25.8
34299.33,17.02,15,72.12,22.79,646.75,26.94
34393.75,16.39,14.87,70.88,23.15,653,26.75
34479.6,15.65,15.28,70.91,23.23,673,28.66
34466.24,16.1,15.11,70.29,23.71,687.75,27.75
34447.14,17.89,15.48,69.96,23.01,669.5,27.36
34599.82,17.07,15.63,70.05,23.12,677.5,26.41
34630.24,16.42,15.88,69.23,23.41,674.5,25.64
34756.39,16.42,15.97,69.62,23.46,660.75,26.26
34577.04,18.04,15.99,68.81,23.21,652.75,25.89
34600.38,17.48,14.91,68.83,24.17,666,26.12
34575.31,17.9,14.81,67.72,24.26,660.75,26.67
34529.45,16.76,14.53,66.32,24.08,651.25,25.93
34464.64,16.74,14.88,66.85,23.86,621.25,26.08
34323.05,17.36,13.9,66.21,24.58,602.75,24.67
34312.46,18.84,12.81,66.07,24.58,617.25,23.61
34393.98,18.4,13.06,66.05,24.68,645.5,24.32
34207.84,20.15,13.33,63.58,24.7,653.5,23.95
34084.15,20.67,12.49,62.05,24.81,656.5,24.04
33896.04,22.18,12.11,63.36,24.59,637,24.32
34060.66,21.34,12.14,65.49,25.11,652.5,25.62
34327.79,19.72,12.15,66.27,25.27,633,26.36
34382.13,18.81,11.84,65.37,24.02,685,25.5
34021.45,23.13,11.55,63.82,23.58,717.5,25.72
33587.66,27.59,11.33,66.08,23.53,750,26.35
34269.16,21.84,11.58,65.28,23.95,747.25,28.81
34742.82,19.66,11.71,64.92,23.93,744.75,27.45
34777.76,16.69,11.82,64.9,23.92,755,27.85
34548.53,18.39,11.74,64.71,23.55,746.25,25.96
34230.34,19.15,11.61,65.63,22.25,740.75,25.72
34133.03,19.48,11.41,65.69,22.01,730,26.63
34113.23,18.31,11.63,64.49,22.23,724,24.68
33874.85,18.61,11.54,63.58,21.25,699.25,23.01
34060.36,17.61,11.26,65.01,21.35,681,22.5
33820.38,17.28,12.43,63.86,21.76,676.25,23.27
33984.93,17.56,12.49,62.94,21.64,680.5,23.78
33981.57,17.64,12.27,61.91,22.16,661,24.75
34043.49,17.33,12.22,62.14,22.21,638.25,23.71
33815.9,18.71,11.94,61.43,22.41,623.5,22.27
34137.31,17.5,11.73,61.35,22.74,604.5,22.41
33821.3,18.68,11.45,62.44,22.4,592.75,21.47
34077.63,17.29,12.11,63.38,22.11,588.25,22.84
34200.67,16.25,12.23,63.13,22.23,583.25,22.67
34035.99,16.57,12.24,63.46,21.98,587.75,22.15
33730.89,16.99,12.24,63.15,21.11,578.75,22.87
33677.27,16.65,12.2,60.18,21.1,565.5,21.32
33745.4,16.91,12.38,59.7,20.99,567.25,21.23
33800.6,16.69,12.51,59.32,21.21,575.5,22.02
33503.57,16.95,12.51,59.6,21.16,559.25,22.72
33446.26,17.16,12.73,59.77,20.67,553.75,23.62
33430.24,18.12,12.92,59.33,20.88,552.25,24.03
33527.19,17.91,12.7,58.65,20.63,549.75,24.63
33153.21,17.33,12.17,61.45,20.37,556.5,25
32981.55,19.4,12.25,59.16,19.8,536.25,26.17
33066.96,19.61,12.46,60.55,19.51,533.75,25.63
33171.37,20.74,12.15,61.56,20.16,542.25,23.58
33072.88,18.86,12.3,60.97,20,544,22.75
32619.48,19.81,12.32,58.56,19.73,541.5,20.37
32420.06,21.2,12.14,61.18,20.16,548.25,19.57
32423.15,20.3,12.21,57.76,20.24,547.75,19.86
32731.2,18.88,12.85,61.55,20.62,546.75,21.79
32627.97,20.95,12.83,61.42,20.96,545.5,22.41
32862.3,21.58,12.49,60,20.86,545.25,22.65
33015.37,19.23,12.69,64.6,21.13,552,22.04
32825.95,19.79,12.49,64.8,20.71,546.75,21.31
32953.46,20.03,13.2,65.39,20.77,532.75,23.14
32778.64,20.69,13.37,65.61,20.32,544.5,24.17
32485.59,21.91,12.81,66.02,20.31,547,22.33
32297.02,22.56,12.91,64.44,20.12,547.5,20.86
31832.74,24.03,12.57,64.01,19.99,554.25,20.86
31802.44,25.47,12.65,65.05,19.5,557,20.62
31496.3,24.66,12.27,66.09,19.84,544.5,18.15
30924.14,28.57,11.93,63.83,19.54,546,17.52
31270.09,26.67,12.17,61.28,19.5,548,18.75
31391.52,24.1,12.55,59.75,19.86,542,18.57
31535.51,23.35,11.98,60.64,18.97,547,18.3
30932.37,27.95,11.7,61.5,18.67,546.25,16.61
31402.01,28.89,11.76,63.53,19.45,542.5,17.59
31961.86,21.34,12.27,63.22,20.1,552,19.31
31537.35,23.11,11.62,61.67,20.16,550,18.14
31521.69,23.45,11.7,61.49,20.53,543.5,18.87
31494.32,22.05,11.58,59.24,19.78,540.75,17.9
31493.34,22.49,11.43,60.52,20.32,548,17
31613.02,21.5,11.48,61.14,20.83,547.5,17.88
31522.75,21.46,11.54,60.05,21.7,538.5,18.48
31458.4,19.97,11.45,59.47,22.15,536.75,16.5
31430.7,21.25,11.45,58.24,22.19,524.75,16.52
31437.8,21.99,11.76,58.68,22.51,531.75,16.41
31375.83,21.63,11.93,58.36,22.43,545,16.44
31385.76,21.24,11.56,57.97,22.46,548.75,16.84
31148.24,20.87,11.51,56.85,22.33,545.5,16.55
31055.86,21.77,11.37,56.23,21.99,547,16.5
30723.6,22.91,11.2,55.69,22.34,536.5,16.26
30687.48,25.56,10.86,54.76,22.34,540.25,17.64
30211.91,30.24,10.83,53.55,22.54,539,18.15
29982.62,33.09,10.53,52.2,22.37,533.25,17.76
30603.36,30.21,10.72,52.34,22.36,529,18.73
30303.17,37.21,10.79,52.85,21.99,529.5,18.38
30937.04,23.02,11.19,52.61,23.28,508,18.14
