Y,DCP,VP,FP,COP,GOP,CFP,USP
1.0,0.35,2.55,-3.34,3.33333333333333,2.20779220779221,-0.94,0.28
0.0,-0.35,-9.81,1.36,4.73118279569892,-2.29,-0.95,3.61
0.0,2.06,0.34,-0.55,1.23,-1.43,-0.24,4.51
0.0,0.75,-3.77,2.63,1.41987829614604,-2.24,0.24,-0.33
1.0,0.5,-1.92,1.67,0.25,-2.83400809716599,-0.96,0.59
0.0,-0.05,-2.43,2.93,-2.39,-2.36111111111111,-0.120627261761158,-1.17
1.0,1.11,-1.39,-1.54,-2.15,3.27,-0.845410628019324,5.61056105610561
1.0,-0.75,0.29,-0.87,1.72,-1.58,0.121802679658952,3.75
0.0,-0.67,-3.89,4.38,4.72279260780287,-0.629811056682995,0.0,3.43373493975904
0.0,1.27,2.32,3.91,-1.66666666666667,-0.352112676056338,-0.5,-2.1
1.0,0.23,0.882723833543506,-1.56,-0.05,3.886925795053,0.611246943765281,1.61
1.0,-1.10340337081466,7.91666666666667,-2.08,-1.5,0.748299319727891,0.24,-2.28
0.0,-1.62814253590746,-2.77992277992278,1.95,-0.35,1.01,-0.97,-0.96
0.0,1.21,-5.32,3.72,2.9,1.14,0.122399020807834,2.18
1.0,0.23,8.1,-6.01900739176346,5.28,1.06,0.122249388753056,-4.32
0.0,-0.89,-6.56,-0.337078651685393,-2.67,-0.26,0.24,4.89
0.0,1.33,-4.4,-5.36,1.93,1.05,0.121802679658952,7.73
1.0,2.23,3.0,3.39,0.33,0.52,1.338199513382,-0.22
1.0,-0.15,-0.93,-1.32,1.31950989632422,-2.58,-0.96,0.27
1.0,-0.49,7.70540655598127,-2.74,-2.93023255813953,0.53,-0.606060606060606,-1.64
0.0,-1.6,-1.699604743083,-0.06,-3.07,2.8345418589321,0.48780487804878,-0.06
1.0,0.07,4.18,-2.88,4.05,0.448717948717949,0.364077669902913,-4.73
0.0,-1.3,-4.94,-0.432900432900433,0.14,4.47,-0.24,-3.86
0.0,0.46,-1.5,-6.83229813664596,-3.13,-0.55,-0.848484848484848,-0.49
0.0,0.82,-4.0,0.533333333333333,4.6,1.96560196560197,-1.22249388753056,1.1
0.0,1.08,-3.05,-0.99,-0.33,-3.31325301204819,-1.48514851485149,-0.302114803625378
1.0,0.72,4.83,2.14,2.63,2.37,0.376884422110553,-0.303030303030303
0.0,-0.85,-4.94296577946768,1.31,2.33,-1.03,-0.125156445556946,1.4
0.0,0.5,0.533333333333333,-0.78,0.626118067978533,0.18,0.0,3.78
